Name,Type,targets,damage,recovery,patk,matk,pdef,mdef,Elemental
Holy Water Rite,HARP,1.5,0,0,0,0,0,1.5,WATER
Trumpet Gun of Depravity,HARP,1.5,0,0,0,0.9,0,0,WATER
Bow of Wilderness,BOW,1,2.5,0,0,0,0,0,WIND
Intent of Dependence,HAMMER,1.5,2.3,0,0,0,0,0,WIND
Intent of Justice,TOME,1.5,0,0,0.9,0,0,0,FIRE
Staff of Misery,STAFF,1,0,3,0,0,0,0,FIRE
Parasitic Halberd,SPEAR,1.5,2.1,0,0,0,0,0.5,FIRE
Flame Vice Staff,STAFF,1.5,0,2.34,0.3,0,0,0,FIRE
Love Bird's Song,HARP,2,0,0,0,0.66,0,0,WIND
Moonlight Sutras,TOME,2,0,0,0,0,1.2,0,WATER
Mystical Blade,SWORD,1,2.5,0,0,0,0.5,0,WATER
Bludgeon of Flames,HAMMER,1.5,2.1,0,0,0,0.5,0,FIRE
Silent Prayer Staff,STAFF,2,0,2.25,0,0,0,0,WIND
Harp of Shared Poetry,HARP,1,0,0,0.96,0.96,0,0,WIND
Trash Spear,SPEAR,1.5,2.1,0,0,0.3,0,0,WATER
King's Law,TOME,1.5,0,0,0.84,0,1.36,0,FIRE
Criminal's Staff,STAFF,1,0,3,0,0,0,0,FIRE
Scythe of Justice,SPEAR,1.5,2.1,0,0,0.3,0,0,WIND
Beast Axe,HAMMER,1.5,2.3,0,0,0,0,0,WIND
Absolute Zero,BOW,1,1.8,0,0,0.3,0,0,WATER
Accursed Gun,BOW,1,2.5,1.2,0,0,0,0,FIRE
Alternate Life,SPEAR,1.5,1.5,1.2,0,0,0,0,WATER
Ancestral Double Axe,HAMMER,1.5,1.7,0,0,0,0,0,WIND
Ancient Elven Bow,BOW,1,2,0,0,0,0,0,FIRE
Ancient Violin,HARP,2,0,0,0,0,1.06,1.06,WIND
Apprentice's Staff,STAFF,1,0,1.8,0,0,0,0,FIRE
Arm of Bondage,SWORD,1,2.7,0,0,0,0,0,WATER
Artisan's Spear,SPEAR,1.5,2.1,0,0,0.3,0,0,WIND
Assassin's Kit,HAMMER,1.5,1.4,0,0,0,0,0,FIRE
Assassin's Notes,TOME,1.5,0,0,0,0.84,0,1.36,WIND
Astrologer's Manastone,ORB,1.5,2.3,0,0,0,0,0,FIRE
Astronomy Book,TOME,2,0,0,0,0,0,1.2,WIND
Automaton Clock,ORB,1.5,2.3,0,0,0,0,0,FIRE
Axe of Masochism,HAMMER,1.5,2.1,0,0.3,0,0,0,WIND
Axe of Paranoia,HAMMER,1.5,1.7,0,0,0,0,0,WATER
